filename,depth,samp_type
190715_Std_4uMStdsMix1InH2O_2.mzML,NA,Std
190715_Std_4uMStdsMix1InMatrix_1.mzML,NA,Std
190715_Std_4uMStdsMix1InMatrix_2.mzML,NA,Std
190715_Std_4uMStdsMix2InH2O_1.mzML,NA,Std
190715_Std_4uMStdsMix2InH2O_2.mzML,NA,Std
190715_Std_4uMStdsMix2InMatrix_1.mzML,NA,Std
190715_Std_4uMStdsMix2InMatrix_2.mzML,NA,Std
190715_Std_H2OinMatrix_1.mzML,NA,Std
190715_Std_H2OinMatrix_2.mzML,NA,Std
180205_Poo_TruePoo_Full1.mzML,NA,Poo
180205_Poo_TruePoo_Full2.mzML,NA,Poo
180205_Poo_TruePoo_Full3.mzML,NA,Poo
180205_Poo_TruePoo_Half1.mzML,NA,Poo
180205_Poo_TruePoo_Half2.mzML,NA,Poo
180205_Poo_TruePoo_Half3.mzML,NA,Poo
180205_Smp_L1C32DCMless10m_A.mzML,DCMless10m,Smp
180205_Smp_L1C32DCMless10m_B.mzML,DCMless10m,Smp
180205_Smp_L1C32DCMless10m_C.mzML,DCMless10m,Smp
180205_Smp_L1C32DCMless20m_A.mzML,DCMless20m,Smp
180205_Smp_L1C32DCMless20m_B.mzML,DCMless20m,Smp
180205_Smp_L1C32DCMless20m_C.mzML,DCMless20m,Smp
180205_Smp_L1C33DCM_A.mzML,DCM,Smp
180205_Smp_L1C33DCM_B.mzML,DCM,Smp
180205_Smp_L1C33DCM_C.mzML,DCM,Smp
180205_Smp_L1C33DCMplus10m_A.mzML,DCMplus10m,Smp
180205_Smp_L1C33DCMplus10m_B.mzML,DCMplus10m,Smp
180205_Smp_L1C33DCMplus10m_C.mzML,DCMplus10m,Smp
180205_Smp_L1C33DCMplus20m_A.mzML,DCMplus20m,Smp
180205_Smp_L1C33DCMplus20m_B.mzML,DCMplus20m,Smp
180205_Smp_L1C33DCMplus20m_C.mzML,DCMplus20m,Smp
180205_Smp_L2C1DCMless10m_A.mzML,DCMless10m,Smp
180205_Smp_L2C1DCMless10m_B.mzML,DCMless10m,Smp
180205_Smp_L2C1DCMless10m_C.mzML,DCMless10m,Smp
180205_Smp_L2C1DCMless20m_A.mzML,DCMless20m,Smp
180205_Smp_L2C1DCMless20m_B.mzML,DCMless20m,Smp
180205_Smp_L2C1DCMless20m_C.mzML,DCMless20m,Smp
180205_Smp_L2C2DCM_A.mzML,DCM,Smp
180205_Smp_L2C2DCM_B.mzML,DCM,Smp
180205_Smp_L2C2DCM_C.mzML,DCM,Smp
180205_Smp_L2C2DCMplus10m_A.mzML,DCMplus10m,Smp
180205_Smp_L2C2DCMplus10m_B.mzML,DCMplus10m,Smp
180205_Smp_L2C2DCMplus10m_C.mzML,DCMplus10m,Smp
180205_Smp_L2C2DCMplus20m_A.mzML,DCMplus20m,Smp
180205_Smp_L2C2DCMplus20m_B.mzML,DCMplus20m,Smp
180205_Smp_L2C2DCMplus20m_C.mzML,DCMplus20m,Smp
180205_Std_4uMStdsInH2O_1.mzML,NA,Std
180205_Std_4uMStdsInH2O_2.mzML,NA,Std
180205_Std_4uMStdsInMatrix_1.mzML,NA,Std
180205_Std_4uMStdsInMatrix_2.mzML,NA,Std
180821_Blk_FilterBlank_1.mzML,NA,Blk
180821_Blk_MQBlk_1.mzML,NA,Blk
180821_Blk_MQBlk_2.mzML,NA,Blk
180821_Blk_MQBlk_3.mzML,NA,Blk
180821_Blk_SWBlk_1.mzML,NA,Blk
180821_Blk_SWBlk_2.mzML,NA,Blk
180821_Blk_SWBlk_3.mzML,NA,Blk
180821_Poo_Day1and2Poo_Full1.mzML,NA,Poo
180821_Poo_Day1and2Poo_Full2.mzML,NA,Poo
180821_Poo_Day1and2Poo_Full3.mzML,NA,Poo
180821_Poo_Day1and2Poo_Full4.mzML,NA,Poo
180821_Poo_Day1and2Poo_Full5.mzML,NA,Poo
180821_Poo_Day1and2Poo_Full6.mzML,NA,Poo
180821_Poo_Day1and2Poo_Fullneg1.mzML,NA,Poo
180821_Poo_Day1and2Poo_Fullneg2.mzML,NA,Poo
180821_Poo_Day1and2Poo_Fullneg3.mzML,NA,Poo
180821_Poo_Day1and2Poo_Fullpos1.mzML,NA,Poo
180821_Poo_Day1and2Poo_Fullpos2.mzML,NA,Poo
180821_Poo_Day1and2Poo_Fullpos3.mzML,NA,Poo
180821_Poo_Day1and2Poo_Half1.mzML,NA,Poo
180821_Poo_Day1and2Poo_Half2.mzML,NA,Poo
180821_Poo_Day1and2Poo_Half3.mzML,NA,Poo
180821_Poo_Day1and2Poo_Half4.mzML,NA,Poo
180821_Poo_Day1and2Poo_Half5.mzML,NA,Poo
180821_Poo_Day1and2Poo_Half6.mzML,NA,Poo
180821_Poo_Day1Poo_DDAneg20.mzML,NA,Poo
180821_Poo_Day1Poo_DDAneg35-2.mzML,NA,Poo
180821_Poo_Day1Poo_DDAneg35.mzML,NA,Poo
180821_Poo_Day1Poo_DDAneg50.mzML,NA,Poo
180821_Poo_Day1Poo_DDApos20.mzML,NA,Poo
180821_Poo_Day1Poo_DDApos35-2.mzML,NA,Poo
180821_Poo_Day1Poo_DDApos35.mzML,NA,Poo
180821_Poo_Day1Poo_DDApos50.mzML,NA,Poo
180821_Poo_MesoScopeQC_1.mzML,NA,Poo
180821_Poo_MesoScopeQC_2.mzML,NA,Poo
180821_Poo_MesoScopeQC_3.mzML,NA,Poo
180821_Poo_MesoScopeQC_4.mzML,NA,Poo
180821_Poo_MesoScopeQC_5.mzML,NA,Poo
180821_Poo_MesoScopeQC_6.mzML,NA,Poo
180821_Smp_MS10C215m_A.mzML,15m,Smp
180821_Smp_MS10C215m_B.mzML,15m,Smp
180821_Smp_MS10C215m_C.mzML,15m,Smp
180821_Smp_MS10C2175m_A.mzML,175m,Smp
180821_Smp_MS10C2175m_B.mzML,175m,Smp
180821_Smp_MS10C2175m_C.mzML,175m,Smp
180821_Smp_MS10C2DCM_A.mzML,DCM,Smp
180821_Smp_MS10C2DCM_B.mzML,DCM,Smp
180821_Smp_MS10C2DCM_C.mzML,DCM,Smp
180821_Smp_MS11C215m_A.mzML,15m,Smp
180821_Smp_MS11C215m_B.mzML,15m,Smp
180821_Smp_MS11C215m_C.mzML,15m,Smp
180821_Smp_MS11C2175m_A.mzML,175m,Smp
180821_Smp_MS11C2175m_B.mzML,175m,Smp
180821_Smp_MS11C2175m_C.mzML,175m,Smp
180821_Smp_MS11C2DCM_A.mzML,DCM,Smp
180821_Smp_MS11C2DCM_B.mzML,DCM,Smp
180821_Smp_MS11C2DCM_C.mzML,DCM,Smp
180821_Smp_MS12C115m_A.mzML,15m,Smp
180821_Smp_MS12C115m_B.mzML,15m,Smp
180821_Smp_MS12C115m_C.mzML,15m,Smp
180821_Smp_MS12C1175m_A.mzML,175m,Smp
180821_Smp_MS12C1175m_B.mzML,175m,Smp
180821_Smp_MS12C1175m_C.mzML,175m,Smp
180821_Smp_MS12C1DCM_A.mzML,DCM,Smp
180821_Smp_MS12C1DCM_B.mzML,DCM,Smp
180821_Smp_MS12C1DCM_C.mzML,DCM,Smp
180821_Smp_MS13C2175m_A.mzML,175m,Smp
180821_Smp_MS13C2175m_B.mzML,175m,Smp
180821_Smp_MS13C2175m_C.mzML,175m,Smp
180821_Smp_MS13C2DCM_A.mzML,DCM,Smp
180821_Smp_MS13C2DCM_B.mzML,DCM,Smp
180821_Smp_MS13C2DCM_C.mzML,DCM,Smp
180821_Smp_MS13C315m_A.mzML,15m,Smp
180821_Smp_MS13C315m_B.mzML,15m,Smp
180821_Smp_MS13C315m_C.mzML,15m,Smp
180821_Smp_MS14C215m_A.mzML,15m,Smp
180821_Smp_MS14C215m_B.mzML,15m,Smp
180821_Smp_MS14C215m_C.mzML,15m,Smp
180821_Smp_MS14C2175m_A.mzML,175m,Smp
180821_Smp_MS14C2175m_B.mzML,175m,Smp
180821_Smp_MS14C2175m_C.mzML,175m,Smp
180821_Smp_MS14C2DCM_A.mzML,DCM,Smp
180821_Smp_MS14C2DCM_B.mzML,DCM,Smp
180821_Smp_MS14C2DCM_C.mzML,DCM,Smp
180821_Smp_MS4C115m_A.mzML,15m,Smp
180821_Smp_MS4C115m_B.mzML,15m,Smp
180821_Smp_MS4C115m_C.mzML,15m,Smp
180821_Smp_MS4C1175m_A.mzML,175m,Smp
180821_Smp_MS4C1175m_B.mzML,175m,Smp
180821_Smp_MS4C1175m_C.mzML,175m,Smp
180821_Smp_MS4C1DCM_A.mzML,DCM,Smp
180821_Smp_MS4C1DCM_B.mzML,DCM,Smp
180821_Smp_MS4C1DCM_C.mzML,DCM,Smp
180821_Smp_MS5C115m_A.mzML,15m,Smp
180821_Smp_MS5C115m_B.mzML,15m,Smp
180821_Smp_MS5C115m_C.mzML,15m,Smp
180821_Smp_MS5C1175m_A.mzML,175m,Smp
180821_Smp_MS5C1175m_B.mzML,175m,Smp
180821_Smp_MS5C1175m_C.mzML,175m,Smp
180821_Smp_MS5C1DCM_A.mzML,DCM,Smp
180821_Smp_MS5C1DCM_B.mzML,DCM,Smp
180821_Smp_MS5C1DCM_C.mzML,DCM,Smp
180821_Smp_MS6C315m_A.mzML,15m,Smp
180821_Smp_MS6C315m_B.mzML,15m,Smp
180821_Smp_MS6C315m_C.mzML,15m,Smp
180821_Smp_MS6C3175m_A.mzML,175m,Smp
180821_Smp_MS6C3175m_B.mzML,175m,Smp
180821_Smp_MS6C3175m_C.mzML,175m,Smp
180821_Smp_MS6C3DCM_A.mzML,DCM,Smp
180821_Smp_MS6C3DCM_B.mzML,DCM,Smp
180821_Smp_MS6C3DCM_C.mzML,DCM,Smp
180821_Smp_MS7C115m_A.mzML,15m,Smp
180821_Smp_MS7C115m_B.mzML,15m,Smp
180821_Smp_MS7C115m_C.mzML,15m,Smp
180821_Smp_MS7C1175m_A.mzML,175m,Smp
180821_Smp_MS7C1175m_B.mzML,175m,Smp
180821_Smp_MS7C1175m_C.mzML,175m,Smp
180821_Smp_MS7C1DCM_A.mzML,DCM,Smp
180821_Smp_MS7C1DCM_B.mzML,DCM,Smp
180821_Smp_MS7C1DCM_C.mzML,DCM,Smp
180821_Smp_MS8C115m_A.mzML,15m,Smp
180821_Smp_MS8C115m_B.mzML,15m,Smp
180821_Smp_MS8C115m_C.mzML,15m,Smp
180821_Smp_MS8C1175m_A.mzML,175m,Smp
180821_Smp_MS8C1175m_B.mzML,175m,Smp
180821_Smp_MS8C1175m_C.mzML,175m,Smp
180821_Smp_MS8C1DCM_A.mzML,DCM,Smp
180821_Smp_MS8C1DCM_B.mzML,DCM,Smp
180821_Smp_MS8C1DCM_C.mzML,DCM,Smp
180821_Smp_MS9C215m_A.mzML,15m,Smp
180821_Smp_MS9C215m_B.mzML,15m,Smp
180821_Smp_MS9C215m_C.mzML,15m,Smp
180821_Smp_MS9C2175m_A.mzML,175m,Smp
180821_Smp_MS9C2175m_B.mzML,175m,Smp
180821_Smp_MS9C2175m_C.mzML,175m,Smp
180821_Smp_MS9C2DCM_A.mzML,DCM,Smp
180821_Smp_MS9C2DCM_B.mzML,DCM,Smp
180821_Smp_MS9C2DCM_C.mzML,DCM,Smp
180821_Std_4uMStdsMix1InH2O_1.mzML,NA,Std
180821_Std_4uMStdsMix1InH2O_2.mzML,NA,Std
180821_Std_4uMStdsMix1InH2O_3.mzML,NA,Std
180821_Std_4uMStdsMix1InMatrix_1.mzML,NA,Std
180821_Std_4uMStdsMix1InMatrix_2.mzML,NA,Std
180821_Std_4uMStdsMix1InMatrix_3.mzML,NA,Std
180821_Std_4uMStdsMix2InH2O_1.mzML,NA,Std
180821_Std_4uMStdsMix2InH2O_2.mzML,NA,Std
180821_Std_4uMStdsMix2InH2O_3.mzML,NA,Std
180821_Std_4uMStdsMix2InMatrix_1.mzML,NA,Std
180821_Std_4uMStdsMix2InMatrix_2.mzML,NA,Std
180821_Std_4uMStdsMix2InMatrix_3.mzML,NA,Std
180821_Std_H2OInMatrix_1.mzML,NA,Std
180821_Std_H2OInMatrix_2.mzML,NA,Std
180821_Std_H2OInMatrix_3.mzML,NA,Std
170706_Blk_Blk0p2_1.mzML,Blk,Blk
170706_Blk_Blk0p2_2.mzML,Blk,Blk
